tissue,Anther,Epidermis,Guard_cells,Gynoecium,Male_meiocyte,Meristematic,Mesophyll,Phloem,Pollen,Stele,Tapetum,Trichoblast,Unknown,Vascular
cell_culture,0.2046,0.3655,0.0,0.3047,0.0838,0.0082,0.0,0.0332,0.0,0.0,0.0,0.0,0.0,0.0
cell_culture;whole_plant,0.2873,0.3944,0.0,0.2818,0.0366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flower,0.1627,0.3807,0.0122,0.2213,0.1945,0.0,0.0,0.0286,0.0,0.0,0.0,0.0,0.0,0.0
root,0.1914,0.3027,0.0095,0.2778,0.0774,0.104,0.0,0.03,0.0002,0.0005,0.0,0.0063,0.0,0.0
root;seed,0.1893,0.3983,0.0,0.2631,0.1358,0.0,0.0,0.0134,0.0,0.0,0.0,0.0,0.0,0.0
root;stem,0.3611,0.2425,0.0,0.2763,0.0432,0.0472,0.0,0.0298,0.0,0.0,0.0,0.0,0.0,0.0
rosette,0.2626,0.4121,0.0,0.2066,0.097,0.0,0.0,0.0217,0.0,0.0,0.0,0.0,0.0,0.0
rosette_leaf,0.1554,0.5168,0.0147,0.2313,0.0779,0.0036,0.0,0.0003,0.0,0.0,0.0,0.0,0.0,0.0
rosette_leaf;cell_culture,0.0,0.1665,0.0,0.4649,0.0,0.0,0.0,0.3687,0.0,0.0,0.0,0.0,0.0,0.0
rosette_leaf;flower;stem,0.1381,0.5514,0.0,0.2594,0.0511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rosette_leaf;root,0.1332,0.2305,0.2201,0.1779,0.0646,0.0,0.0,0.1736,0.0,0.0,0.0,0.0,0.0,0.0
rosette_leaf;root;flower,0.1668,0.345,0.0,0.2435,0.2067,0.0,0.0,0.038,0.0,0.0,0.0,0.0,0.0,0.0
rosette_leaf;root;stem,0.2073,0.4485,0.0177,0.2795,0.0241,0.0121,0.0,0.0108,0.0,0.0,0.0,0.0,0.0,0.0
rosette_leaf;seed,0.0,0.3993,0.0,0.3221,0.0,0.2359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0428
rosette_leaf;stem,0.1839,0.4677,0.0255,0.2209,0.0854,0.0075,0.0,0.009,0.0,0.0,0.0,0.0,0.0,0.0
seed,0.3008,0.3813,0.0007,0.2305,0.068,0.0008,0.0,0.0046,0.0067,0.0,0.0001,0.0,0.0,0.0066
seed;flower,0.3306,0.3462,0.0,0.3063,0.0168,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0
seed;flower;stem,0.3524,0.236,0.0208,0.2153,0.0482,0.0201,0.0,0.0361,0.0,0.0,0.0,0.0,0.0,0.0711
seed;stem,0.1365,0.2276,0.0861,0.2374,0.0556,0.1092,0.0,0.1246,0.0,0.0,0.0139,0.0059,0.0,0.0032
seedling,0.2293,0.3981,0.0034,0.2297,0.1085,0.0,0.0,0.0309,0.0,0.0,0.0,0.0,0.0,0.0
seedling;root;seed,0.1837,0.5181,0.0,0.2502,0.048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seedling;root;seed;flower,0.0,0.388,0.0129,0.2729,0.3262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seedling;root;seed;stem,0.2794,0.2801,0.0002,0.2906,0.0546,0.0435,0.0,0.0506,0.0,0.0,0.0008,0.0,0.0,0.0
seedling;rosette_leaf;root;seed;stem,0.2804,0.3709,0.0,0.2504,0.0796,0.0,0.0,0.0186,0.0,0.0,0.0,0.0,0.0,0.0
seedling;rosette_leaf;seed,0.1907,0.4962,0.0,0.2537,0.0594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seedling;rosette_leaf;seed;stem,0.1873,0.4975,0.0,0.1849,0.1296,0.0,0.0,0.0007,0.0,0.0,0.0,0.0,0.0,0.0
seedling;seed,0.1239,0.3455,0.0058,0.3012,0.0488,0.1669,0.0,0.0003,0.0,0.0,0.0076,0.0,0.0,0.0
seedling;seed;stem,0.2034,0.5074,0.0,0.1902,0.0852,0.0,0.0,0.0138,0.0,0.0,0.0,0.0,0.0,0.0
stem,0.1806,0.4734,0.0389,0.2222,0.0662,0.0071,0.0,0.0071,0.0006,0.0001,0.0001,0.0004,0.0,0.0033
stem;cell_culture,0.2575,0.4261,0.0,0.3046,0.0119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unknown,0.2414,0.3856,0.0,0.2688,0.0803,0.0,0.0,0.0239,0.0,0.0,0.0,0.0,0.0,0.0
unspecified,0.1603,0.4697,0.0127,0.2576,0.0599,0.009,0.0,0.0064,0.0002,0.0051,0.0004,0.0019,0.0,0.0169
