gene,err_spaceflight,err_ground,err_ratio
AT4G19240,1.9108769,0.114466295,16.693794
AT2G05230,1.9456928,0.12190676,15.960499
AT1G29410,1.1024411,0.077135146,14.29233
AT1G22800,1.3007181,0.09379449,13.867744
AT3G13700,1.6097819,0.120609835,13.347019
AT5G51620,1.4833744,0.11450546,12.954616
AT5G35450,1.0411775,0.08092046,12.866677
AT3G28320,1.6459193,0.14810294,11.113346
AT3G43740,1.586284,0.14371802,11.037474
AT1G71920,1.3100297,0.11912007,10.997557
AT3G44490,1.1561638,0.10572736,10.935331
AT5G50600,1.3936357,0.12946722,10.76439
AT5G47260,1.0797366,0.10077617,10.714205
AT5G49440,1.1559091,0.10859569,10.644152
AT5G17890,1.3631942,0.12833713,10.621977
AT3G47680,1.3738494,0.1307898,10.504253
AT1G05090,0.9834692,0.09527361,10.3225765
AT2G23240,1.3487712,0.13419093,10.051134
AT4G22410,0.93417,0.093199626,10.023323
AT3G25720,0.98352146,0.09976923,9.857964
AT2G41440,1.3231351,0.1348878,9.809153
AT1G62590,0.8669972,0.08931289,9.707413
AT3G60950,1.2200838,0.12637343,9.654591
AT2G07718,1.8453027,0.19645412,9.393045
AT1G27570,1.1744158,0.1253937,9.365827
AT1G23960,1.4320848,0.15416834,9.289097
AT5G41660,1.0430115,0.11279006,9.247371
AT5G46510,1.1226442,0.12237367,9.1739025
AT1G47660,0.8997644,0.09814927,9.167306
AT1G12340,1.7179539,0.18994536,9.044463
AT4G25530,1.039092,0.117970884,8.808037
AT1G32010,0.9903393,0.112463094,8.805904
AT2G01440,0.5821753,0.06815009,8.542546
AT5G51630,1.0832576,0.12724157,8.513392
AT1G64100,1.014325,0.12051534,8.416563
AT5G17100,1.2200739,0.14519261,8.40314
AT3G22500,1.085896,0.1293625,8.39421
AT5G45570,1.0868671,0.12995595,8.363349
AT4G36140,0.8667126,0.103838325,8.34675
AT3G03305,0.5485148,0.06671648,8.221578
AT1G54870,1.3652445,0.16662952,8.193293
AT5G56380,1.2126775,0.14818561,8.183503
AT1G48130,1.3724855,0.17069909,8.04038
AT5G05400,1.062692,0.13240089,8.02632
AT2G28420,1.104689,0.1391054,7.9413805
AT4G12990,1.2340107,0.1556066,7.930323
AT5G55240,1.1985244,0.15282243,7.8425937
AT2G24710,0.90599155,0.11622019,7.795474
AT5G43490,1.0655553,0.13785788,7.7293744
AT5G17880,1.1186664,0.14488308,7.7211657
AT3G26430,0.78090405,0.1023678,7.628414
AT4G01400,0.81745553,0.10728327,7.619599
AT5G43370,1.1246349,0.1477175,7.6134157
AT5G32460,1.1556455,0.15476555,7.4670715
AT1G18000,1.1513286,0.1545837,7.4479294
AT3G05260,1.2163016,0.16444497,7.3964043
AT1G65090,1.2331674,0.16674134,7.39569
AT1G77950,1.161921,0.15794547,7.3564687
AT3G43950,0.79212534,0.10813255,7.325503
AT5G09320,1.0865012,0.1483835,7.3222504
AT3G23290,1.1512966,0.15734714,7.3169203
AT3G05340,0.85651475,0.117728986,7.2753086
AT5G57880,0.73517764,0.10178,7.223203
AT4G16160,1.274377,0.1771847,7.192364
AT1G11280,0.7825137,0.10898727,7.1798625
AT1G30550,0.71518815,0.09969356,7.1738644
AT3G44930,0.4927238,0.06869866,7.172247
AT4G01740,1.076066,0.15006109,7.1708527
AT5G40420,1.4547492,0.20298022,7.16695
AT3G54940,1.3242853,0.18505435,7.156196
AT1G73190,1.2811449,0.17906703,7.154554
AT1G66910,0.7655653,0.10707462,7.149829
AT5G65850,0.85218936,0.120018594,7.100477
AT1G30160,0.8387467,0.11907609,7.0437875
AT2G05400,0.85753435,0.12267421,6.990339
AT1G19550,1.6025517,0.22930577,6.9887104
AT3G43290,0.7557583,0.1081541,6.9877906
AT4G09920,0.9981427,0.14303282,6.978417
AT4G28620,0.76243967,0.109489396,6.963593
AT5G18450,0.8627749,0.12477761,6.9145007
AT2G15110,0.71767735,0.10384514,6.911034
AT5G28810,0.8995971,0.13017435,6.9107084
AT2G33255,0.4001283,0.05821639,6.87312
AT3G61970,0.53708684,0.07817175,6.8705993
AT1G05230,0.37902004,0.055170964,6.8699174
AT3G21370,1.0839353,0.15792707,6.8635173
AT5G43040,0.99675626,0.14532061,6.8590145
AT3G58450,1.0822307,0.15820958,6.840487
AT2G40710,1.0260513,0.15041125,6.8216386
AT5G45080,1.0243772,0.15022752,6.818838
AT4G03950,0.8235841,0.12093565,6.8101015
AT2G46450,1.0568967,0.15525568,6.8074584
AT1G80090,1.1246072,0.16573408,6.7856116
AT1G63350,0.7872327,0.11635917,6.7655406
AT1G54260,0.93712443,0.13906357,6.73882
AT1G04560,1.4628314,0.21710439,6.7379165
AT2G28490,1.3343781,0.19864263,6.7174807
AT1G32120,0.80710155,0.12036803,6.7052813
AT2G43920,0.93244433,0.13913478,6.7017336
AT5G48780,0.9585733,0.1433385,6.6874785
AT3G30820,0.74847555,0.11219311,6.6713142
AT1G32000,0.63585854,0.09559734,6.6514244
AT1G68250,1.4017138,0.21094705,6.6448607
AT3G53200,0.9280192,0.14025636,6.616592
AT4G16230,1.0345447,0.15659392,6.606544
AT4G19500,0.9055143,0.13719445,6.6002245
AT3G13240,1.3698682,0.20771681,6.594883
AT5G35520,0.49365377,0.07511624,6.571864
AT5G44120,1.6773227,0.2558264,6.5564876
AT1G15890,0.9537054,0.14553154,6.553255
AT2G23640,1.0035222,0.15381226,6.5243306
AT4G38320,0.6316474,0.09684937,6.5219564
AT1G72100,1.0982552,0.16866161,6.511589
AT1G63540,0.8945155,0.13743204,6.508784
AT5G43820,0.5937493,0.0912434,6.5073113
AT4G39930,0.9540548,0.14691949,6.4937243
AT2G38195,1.199754,0.18481992,6.491475
AT5G41240,0.5058157,0.07806224,6.4796457
AT2G40955,1.0051914,0.15522501,6.4757047
AT5G36670,1.0752168,0.1660964,6.473449
