study_id,source,title,assay_type,platform,organism,download_status,has_expression_data,n_genes,n_samples,gene_id_type,expr_file,notes
OSD-678,OSDR,Light has a principal role in the Arabidopsis transcriptomic response to the spaceflight environment,RNA-seq,Illumina,Arabidopsis thaliana,success,True,32833,36,AGI,GLDS-612_rna_seq_STAR_Unnormalized_Counts_GLbulkRNAseq.csv,
OSD-120,OSDR,Genetic dissection of the Arabidopsis spaceflight transcriptome: Are some responses dispensable for the physiological adaptation of plants to spaceflight?,RNA-seq,Illumina     CARA,Arabidopsis thaliana,success,True,32833,36,AGI,GLDS-120_rna_seq_STAR_Unnormalized_Counts_GLbulkRNAseq.csv,
OSD-205,OSDR,HSFA2 functions in the physiological adaptation of undifferentiated plant cells to spaceflight microgravity environment,microarray,Affymetrix,Arabidopsis thaliana,success,True,22810,18,AGI,GLDS-205_array_normalized_expression_probeset.csv,
OSD-615,OSDR,Glycome profiling and immunohistochemistry uncover changes in cell walls of Arabidopsis thaliana roots during spaceflight: Advanced Plant EXperiment (APEX) 03-1 Raw Dataset,RNA-seq,Thermo Fisher Scientific,Arabidopsis thaliana,success,False,0,0,,,Non-transcriptomics (glycomics) - excluded
OSD-7,OSDR,"The Arabidopsis spaceflight transcriptome: a comparison of whole plants to discrete root, hypocotyl and shoot responses to the orbital environment",RNA-seq,Affymetrix,Arabidopsis thaliana,success,False,0,0,,,Only raw CEL files - needs RMA processing
OSD-147,OSDR,Arg1 functions in the physiological adaptation of undifferentiated plant cells to spaceflight,microarray,Affymetrix,Arabidopsis thaliana,success,True,22810,20,AGI,GLDS-147_array_normalized_expression_probeset.csv,
OSD-44,OSDR,Transcriptomics analysis of etiolated Arabidopsis thaliana seedlings in response to microgravity,microarray,Affymetrix,Arabidopsis thaliana,success,True,22810,14,AGI,GLDS-44_array_normalized_expression_probeset_GLmicroarray.csv,
OSD-223,OSDR,The effect of spaceflight on transgenic Arabidopsis plants with compromised signaling,RNA-seq,Illumina,Arabidopsis thaliana,success,True,32833,40,AGI,GLDS-223_rna_seq_STAR_Unnormalized_Counts.csv,
OSD-625,OSDR,Single-molecule long-read methylation profiling reveals regional DNA methylation regulated by Elongator Complex Subunit 2 in Arabidopsis roots experiencing spaceflight,RNA-seq,Pacific Biosciences,Arabidopsis thaliana,success,False,0,0,,,Non-transcriptomics (methylation) - excluded
OSD-624,OSDR,Arabidopsis transcriptome in Virgin Galactic human-tended suborbital spaceflight,RNA-seq,Illumina,Arabidopsis thaliana,success,True,32833,36,AGI,GLDS-611_rna_seq_STAR_Unnormalized_Counts_GLbulkRNAseq.csv,
OSD-416,OSDR,Characterizing Epigenetic Changes in Methylation Mutants (elp2-5 and met1-7) in Response to Spaceflight. [Bisulfite-Seq],RNA-seq,Illumina,Arabidopsis thaliana,success,False,0,0,,,Non-transcriptomics (methylation) - excluded
OSD-17,OSDR,Transcription profiling by array of the response of Arabidopsis cultivar Columbia etiolated seedlings and undifferentiated tissue culture cells to the spaceflight environment,microarray,Affymetrix,Arabidopsis thaliana,success,True,22810,26,AGI,GLDS-17_array_normalized_expression_probeset_GLmicroarray.csv,
OSD-437,OSDR,Transcriptional and Post transcriptional Regulation of Seedling Development in Microgravity,RNA-seq,Illumina,Arabidopsis thaliana,success,True,23392,19,AGI,GLDS-437_rna_seq_Normalized_Counts_GLbulkRNAseq.csv,
OSD-522,OSDR,Integrative Transcriptomics and Proteomics Profiling of Arabidopsis thaliana Elucidates Novel Mechanisms Underlying Spaceflight Adaptation,RNA-seq,LTQ Orbitrap Velos(Thermo Scientific)     Illumina,Arabidopsis thaliana,success,True,32833,12,AGI,GLDS-522_rna_seq_STAR_Unnormalized_Counts_GLbulkRNAseq.csv,
OSD-217,OSDR,Characterization of Epigenetic Regulation in an Extraterrestrial Environment: The Arabidopsis Spaceflight Methylome,RNA-seq,Illumina     Illumina,Arabidopsis thaliana,success,True,32833,12,AGI,GLDS-217_rna_seq_Unnormalized_Counts.csv,
OSD-38,OSDR,Proteomics and Transcriptomics analysis of Arabidopsis Seedlings in Microgravity,RNA-seq,LTQ-Orbitrap Velos Pro     Illumina,Arabidopsis thaliana,success,True,32833,12,AGI,GLDS-38_rna_seq_Unnormalized_Counts.csv,
OSD-281,OSDR,"During development, the Sku5 mutant roots engage different genes than wild type WS roots, either on the ground or in spaceflight.",RNA-seq,Illumina,Arabidopsis thaliana,success,True,24787,32,AGI,GLDS-281_rna_seq_Normalized_Counts_GLbulkRNAseq.csv,
OSD-251,OSDR,RNAseq analysis of the response of Arabidopsis thaliana to fractional gravity under blue-light stimulation during spaceflight,RNA-seq,Illumina HiSeq2500,Arabidopsis thaliana,success,True,32833,20,AGI,GLDS-251_rna_seq_Unnormalized_Counts.csv,
